Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Year,Month,Day,Hour,Minute,Is_holiday,Light
0.7291666666666666,3.702,0.52,235.09,15.8,0.0,1.0,17.0,2006,12,16,17,30,1.0,1.0
0.7361111111111112,3.27,0.152,236.73,13.8,0.0,0.0,17.0,2006,12,16,17,40,1.0,1.0
0.7430555555555556,3.236,0.0,235.84,13.6,0.0,0.0,17.0,2006,12,16,17,50,1.0,1.0
0.75,2.79,0.18,237.52,11.8,0.0,0.0,18.0,2006,12,16,18,0,1.0,0.0
0.7569444444444444,3.396,0.148,236.2,15.0,0.0,22.0,18.0,2006,12,16,18,10,1.0,0.0
0.7638888888888888,2.928,0.0,235.25,12.4,0.0,1.0,17.0,2006,12,16,18,20,1.0,0.0
0.7708333333333334,2.93,0.0,236.15,12.4,0.0,1.0,17.0,2006,12,16,18,30,1.0,0.0
0.7777777777777778,2.264,0.054,234.67,9.6,0.0,1.0,17.0,2006,12,16,18,40,1.0,0.0
0.7847222222222222,2.496,0.08,233.92,10.6,0.0,3.0,17.0,2006,12,16,18,50,1.0,0.0
0.7916666666666666,4.07,0.088,231.99,17.4,0.0,1.0,17.0,2006,12,16,19,0,1.0,0.0
0.7986111111111112,3.4,0.0,234.28,14.4,0.0,1.0,17.0,2006,12,16,19,10,1.0,0.0
0.8055555555555556,3.422,0.052,234.58,14.6,0.0,1.0,17.0,2006,12,16,19,20,1.0,0.0
0.8125,3.408,0.162,233.94,14.4,0.0,2.0,16.0,2006,12,16,19,30,1.0,0.0
0.8194444444444444,3.406,0.158,233.2,14.6,0.0,2.0,16.0,2006,12,16,19,40,1.0,0.0
0.8263888888888888,3.378,0.156,232.82,14.4,0.0,2.0,16.0,2006,12,16,19,50,1.0,0.0
0.8333333333333334,3.206,0.078,232.43,13.8,0.0,0.0,16.0,2006,12,16,20,0,1.0,0.0
0.8402777777777778,3.42,0.144,234.04,14.6,0.0,0.0,17.0,2006,12,16,20,10,1.0,0.0
0.8472222222222222,3.302,0.0,232.69,14.2,0.0,0.0,16.0,2006,12,16,20,20,1.0,0.0
0.8541666666666666,3.262,0.076,234.54,13.8,0.0,0.0,17.0,2006,12,16,20,30,1.0,0.0
0.8611111111111112,3.232,0.078,233.63,13.8,0.0,0.0,17.0,2006,12,16,20,40,1.0,0.0
0.8680555555555556,3.454,0.15,235.75,14.6,0.0,0.0,17.0,2006,12,16,20,50,1.0,0.0
0.875,3.314,0.072,236.76,14.0,0.0,0.0,17.0,2006,12,16,21,0,1.0,0.0
0.8819444444444444,3.34,0.07,237.69,14.0,0.0,0.0,17.0,2006,12,16,21,10,1.0,0.0
